Name,Category,Reinforcement,Damage,Damage Reduction,Aux Effects,Stat Requirements,Stat Bonuses,Critical,Weight,Stability,Durability,Sell Price,Spell Buff,Range,Buffable,Infusable
0,0,0,1.0,0.01160092807424594,1.0,0.5,0,1.0,0.8071428571428572,0.3125,0.08,0.5,1.0,0.7142857142857143,0,0
0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.225,0.7308584686774942,0.0,0.4375,0,0.0,0.16071428571428573,0.5,0.17,0.25,0.0,0.0,0,0
0,0,0,0.2604166666666667,0.765661252900232,0.0,0.625,0,0.0,0.6428571428571429,0.75,0.3,0.25,0.0,0.0,0,0
0,0,0,0.12916666666666665,0,0.0,0.35,0,0.0,0.08928571428571429,0,0.1,0.15,0.0,0.7777777777777778,0,0
0,0,0,0.18541666666666667,0.18561484918793503,0.0,0.325,0,0.0,0.07142857142857142,0.125,0.1,0.15,0.5088888888888888,0.0,0,0
0,0,0,0.1125,0.1740139211136891,0.0,0.275,0,0.0,0.017857142857142856,0.125,0.1,0.15,0.4444444444444444,0.0,0,0
0,0,0,0.24583333333333335,0.33642691415313225,0.0,0.4,0,0.0,0.32142857142857145,0.3125,0.18,0.4,0.0,0.0,0,0
0,0,0,0.3125,0.7192575406032482,0.0,0.75,0,0.0,1.0,0.625,0.62,0.5,0.0,0.0,0,0
0,0,0,0.37083333333333335,0.3596287703016241,0.0,0.5375,0,0.0,0.42857142857142855,0.3125,0.16,0.4,0.0,0.0,0,0
0,0,0,0.18125,0.8700696055684455,0.0,0.5625,0,0.0,0.7678571428571429,0.75,0.3,0.25,0.0,0.0,0,0
0,0,0,0.16666666666666666,0.30162412993039445,0.0,0.35,0,0.0,0.17857142857142858,0.25,0.14,0.25,0.0,0.0,0,0
0,0,0,0.11875000000000001,0.0,0.0,0.45,0,0.0,0.26785714285714285,0,0.04,0.5,0.0,0.7777777777777778,0,0
0,0,0,0.26458333333333334,0.4176334106728538,0.0,0.4,0,0.0,0.32142857142857145,0.5,0.11,1.0,0.0,0.0,0,0
0,0,0,0.25416666666666665,0.3596287703016241,0.22666666666666668,0.6375,0,0.0,0.2857142857142857,0.375,0.04,0.75,0.0,0.0,0,0
0,0,0,0.3666666666666667,0.46403712296983757,0.0,0.6875,0,0.0,0.8035714285714286,0.5,0.18,0.5,0.0,0.0,0,0
0,0,0,0.23124999999999998,0.3596287703016241,0.0,0.4,0,0.0,0.16071428571428573,0.375,0.14,0.4,0.0,0.0,0,0
0,0,0,0.16458333333333333,0.4408352668213457,0.0,0.625,0,0.025,0.017857142857142856,0.375,0.14,0.075,0.4488888888888889,0.0,0,0
0,0,0,0.25,0.5568445475638051,0.0,0.5,0,0.0,0.5,0.5625,0.24,0.25,0.0,0.0,0,0
0,0,0,0.23750000000000002,0.24361948955916474,0.0,0.4625,0,0.0,0.05357142857142857,0.1875,0.1,0.05,0.0,0.0,0,0
0,0,0,0.17916666666666667,0.22041763341067286,0.0,0.225,0,0.0,0.10714285714285714,0.1875,0.11,0.15,0.5311111111111111,0.0,0,0
0,0,0,0.15416666666666667,0.24361948955916474,0.0,0.4875,0,0.0,0.07142857142857142,0.1875,0.1,0.05,0.0,0.0,0,0
0,0,0,0.2333333333333333,0.30162412993039445,0.0,0.525,0,0.0,0.48214285714285715,0.25,0.18,0.25,0.0,0.0,0,0
0,0,0,0.12291666666666667,0.1740139211136891,0.22666666666666668,0.4875,0,0.0,0.125,0.125,0.1,0.5,0.44666666666666666,0.0,0,0
0,0,0,0.1875,0,0.0,0.5125,0,0.0,0.0,0,0.13,0.15,0.46,0.0,0,0
0,0,0,0.13333333333333333,0.6496519721577726,0.0,0.1125,0,0.0,0.125,0.6875,0.11,0.05,0.0,0.0,0,0
0,0,0,0.1729166666666667,0.765661252900232,0.0,0.15,0,0.0,0.17857142857142858,0.625,0.16,0.15,0.0,0.0,0,0
0,0,0,0.28125,0.3596287703016241,0.0,0.425,0,0.0,0.21428571428571427,0.375,0.09,0.05,0.0,0.0,0,0
0,0,0,0.34791666666666665,0.30162412993039445,0.3,0.6375,0,0.0,0.4642857142857143,0.25,0.12,0.5,0.0,0.0,0,0
0,0,0,0.1625,0.24361948955916474,0.0,0.3125,0,0.05,0.14285714285714285,0.1875,0.12,0.05,0.0,0.0,0,0
0,0,0,0.3125,0.4756380510440835,0.0,0.5,0,0.0,0.5357142857142857,0.5,0.3,0.15,0.0,0.0,0,0
0,0,0,0.17916666666666667,0.30162412993039445,0.0,0.3,0,0.0,0.14285714285714285,0.25,0.14,0.05,0.0,0.0,0,0
0,0,0,0.24791666666666667,0.0,0.0,0.5,0,0.0,0.32142857142857145,0.0,0.2,0.5,0.0,0.6190476190476191,0,0
0,0,0,0.3645833333333333,0.4176334106728538,0.0,0.7,0,0.0,0.32142857142857145,0.4375,0.15,0.25,0.0,0.0,0,0
0,0,0,0.2791666666666667,0.5220417633410672,0.0,0.4875,0,0.0,0.6071428571428571,0.5,0.23,0.25,0.0,0.0,0,0
0,0,0,0.14791666666666667,0,0.2,0.3125,0,0.025,0.10714285714285714,0,0.13,0.05,0.0,0.0,0,0
0,0,0,0.23958333333333334,0.3596287703016241,0.0,0.3125,0,0.0,0.23214285714285715,0.4375,0.16,0.05,0.0,0.0,0,0
0,0,0,0.20833333333333334,0.46403712296983757,0.0,0.3,0,0.0,0.19642857142857142,0.625,0.14,0.25,0.0,0.0,0,0
0,0,0,0.18333333333333335,0.3596287703016241,0.0,0.2875,0,0.0,0.14285714285714285,0.375,0.14,0.05,0.0,0.0,0,0
0,0,0,0.19791666666666666,0.23201856148491878,0.0,0.0625,0,0.0,0.03571428571428571,0.2125,0.09,0.025,0.0,0.0,0,0
0,0,0,0.35000000000000003,0.5336426914153132,0.0,0.5,0,0.0,0.75,0.5625,0.68,0.25,0.0,0.0,0,0
0,0,0,0.39999999999999997,0.8352668213457076,0.0,0.4,0,0.0,0.5535714285714286,0.8375,0.3,0.15,0.0,0.0,0,0
0,0,0,0.14375000000000002,0.19721577726218098,0.0,0.4,0,0.0,0.08928571428571429,0.1875,0.11,0.5,0.5355555555555556,0.0,0,0
0,0,0,0.10833333333333334,0.0,0.0,0.275,0,0.0,0.16071428571428573,0.0,0.11,0.05,0.0,0.7936507936507936,0,0
0,0,0,0.21875,0.46403712296983757,0.24,0.5,0,0.0,0.375,0.5,0.17,0.075,0.0,0.0,0,0
0,0,0,0.1708333333333333,0.1740139211136891,0.24,0.3625,0,0.0,0.08928571428571429,0.125,0.1,0.2,0.0,0.0,0,0
0,0,0,0.07708333333333334,0.18561484918793503,0.0,0.3125,0,0.0,0.07142857142857142,0.125,0.08,0.05,0.4088888888888889,0.0,0,0
0,0,0,0.08333333333333333,0.19721577726218098,0.0,0.3125,0,0.0,0.08928571428571429,0.125,0.11,0.1,0.4622222222222222,0.0,0,0
0,0,0,0.13125,0.8120649651972157,0.0,0.225,0,0.0,0.21428571428571427,0.675,0.15,0.175,0.0,0.0,0,0
0,0,0,0.2333333333333333,0.8955916473317865,0.0,0.5,0,0.0,0.7321428571428571,0.9125,0.41,0.5,0.0,0.0,0,0
0,0,0,0.21666666666666667,0.8190255220417633,0.0,0.375,0,0.0,0.39285714285714285,0.8375,0.28,0.5,0.0,0.0,0,0
0,0,0,0.17916666666666667,0.7679814385150812,0.0,0.2,0,0.0,0.25,0.7875,0.21,0.175,0.0,0.0,0,0
0,0,0,0.19791666666666666,0.9095127610208817,0.0,0.475,0,0.0,0.6428571428571429,0.8375,0.34,0.15,0.0,0.0,0,0
0,0,0,0.25625000000000003,1.0,0.0,0.5,0,0.0,1.0,0.9375,0.54,0.25,0.0,0.0,0,0
0,0,0,0.24166666666666667,0.9118329466357308,0.0,0.625,0,0.0,0.7678571428571429,0.9625,0.41,0.5,0.0,0.0,0,0
0,0,0,0.18958333333333333,0.8491879350348028,0.0,0.45,0,0.0,0.5357142857142857,0.8,0.28,0.175,0.0,0.0,0,0
0,0,0,0.23750000000000002,0.9582366589327145,0.0,0.475,0,0.0,0.9285714285714286,0.925,0.38,0.5,0.0,0.0,0,0
0,0,0,0.23750000000000002,0.8120649651972157,0.0,0.5,0,0.0,0.6607142857142857,1.0,0.38,0.05,0.0,0.0,0,0
0,0,0,0.21875,0.8863109048723898,0.0,0.425,0,0.0,0.6071428571428571,0.825,0.3,0.05,0.0,0.0,0,0
0,0,0,0.18958333333333333,0.7865429234338747,0.0,0.5,0,0.0,0.5357142857142857,0.7375,0.23,0.045,0.0,0.0,0,0
0,0,0,0.19166666666666665,0.8677494199535962,0.0,0.4,0,0.0,0.5178571428571429,0.8,0.3,0.25,0.0,0.0,0,0
0,0,0,0.1395833333333333,0.5939675174013921,0.0,0.2,0,0.0,0.23214285714285715,0.675,0.21,0.15,0.0,0.0,0,0
0,0,0,0.1125,0.5962877030162412,0.0,0.125,0,0.0,0.05357142857142857,0.5125,0.11,0.05,0.0,0.0,0,0
0,0,0,0.17500000000000002,0.7610208816705335,0.0,0.225,0,0.0,0.19642857142857142,0.725,0.22,0.25,0.0,0.0,0,0
0,0,0,0.12083333333333333,0.6983758700696056,0.0,0.1,0,0.0,0.125,0.6375,0.15,0.05,0.0,0.0,0,0
